PSurf_Autumn,PSurf_Spring,PSurf_Summer,PSurf_Winter,Rainf_Autumn,Rainf_Spring,Rainf_Summer,Rainf_Winter,Snowf_Autumn,Snowf_Spring,Snowf_Summer,Snowf_Winter,Tair_Autumn,Tair_Spring,Tair_Summer,Tair_Winter,Wind_Autumn,Wind_Spring,Wind_Summer,Wind_Winter,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.62861395,0.6167946,0.61014986,0.63729,0.25195548,0.50981784,0.23297018,0.38799718,0.0,0.0,0.0,6.172107e-08,0.78920364,0.7681503,0.8109455,0.7082958,0.6863723,0.8240839,0.77533054,0.7974706,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5930829,0.5805721,0.57471037,0.60199356,0.26074013,0.33975202,0.22184387,0.51491046,0.0,0.0,0.0,8.38382e-08,0.76374245,0.7512455,0.79858017,0.6885414,0.6662915,0.85271204,0.71875834,0.7655422,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.61726856,0.60419846,0.59945726,0.62746763,0.25490025,0.3941986,0.18736562,0.5096499,0.0,8.478272e-08,0.0,1.032028e-07,0.6925545,0.69838905,0.7458687,0.62496185,0.5755478,0.7590102,0.61343277,0.6531082,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5947585,0.5812044,0.5763979,0.605319,0.46644554,0.49161446,0.07813939,0.67559624,0.0,8.642394e-08,0.0,1.2598753e-07,0.6696911,0.6793442,0.73664093,0.6074753,0.46240997,0.6716298,0.5455444,0.55365497,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5912671,0.5774646,0.5723462,0.60227156,0.7932068,0.44903815,0.15123513,0.79382515,0.0,8.642394e-08,0.0,1.9528986e-07,0.65436554,0.66664696,0.7367439,0.5940857,0.45247877,0.65997136,0.540135,0.51554364,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.604239,0.59050274,0.5848026,0.6157956,0.7058388,0.649956,0.4101989,0.36201045,0.0,3.828112e-08,0.0,1.365727e-07,0.63150215,0.6455326,0.72447777,0.57681847,0.4417404,0.6165823,0.5362886,0.49033672,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.54493666,0.53159857,0.5249586,0.55608606,1.0,0.61118746,0.51516575,0.5857786,0.0,2.8932016e-08,0.0,1.7530976e-07,0.54758453,0.5735626,0.66244125,0.5111904,0.43589163,0.6035925,0.5476124,0.4652384,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.53239536,0.5197315,0.5116067,0.5437813,1.0,0.28272575,0.66396374,0.7211764,0.0,4.8799247e-08,0.0,2.368516e-07,0.52471924,0.5503082,0.6438904,0.4934864,0.3760556,0.5770985,0.52299917,0.3954243,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.4516573,0.43955708,0.43015337,0.46246767,0.7943598,0.115730464,0.30962232,0.61354804,7.242295e-09,6.36224e-08,0.0,1.8028622e-07,0.46115494,0.4804783,0.57567024,0.44556427,0.30973685,0.48396456,0.5090289,0.2509305,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.73774004,0.72838783,0.7202382,0.7468252,0.96790695,0.077773154,0.28045386,0.5058738,1.9425203e-08,5.4674775e-08,0.0,9.117252e-08,0.9061165,0.84184647,0.89427185,0.80274963,0.5976033,0.54188,0.6148584,0.7916674,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.73153543,0.7214241,0.7135873,0.74089956,0.8626269,0.18356806,0.031846233,0.60189354,1.3350856e-08,6.645053e-08,0.0,6.456577e-08,0.8577919,0.81237984,0.8602104,0.7609749,0.6840248,0.68022335,0.73032284,0.85873145,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.6612296,0.6502552,0.64231205,0.67002916,0.5860598,0.32193267,0.15813228,0.4694697,1.3022563e-08,5.134495e-08,0.0,9.302838e-08,0.83241844,0.7955437,0.84794617,0.7346363,0.70992374,0.76597273,0.7556081,0.8386677,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5946927,0.5828705,0.57514286,0.60294056,0.7113141,0.46172452,0.35683548,0.3199915,1.40283705e-08,3.9546826e-08,0.0,1.0004352e-07,0.7968235,0.77235985,0.826355,0.706028,0.6917174,0.81500494,0.72953117,0.82096106,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.5196686,0.5071454,0.49990034,0.5273032,0.80114174,0.54550624,0.50611764,0.5244297,2.7886681e-08,3.4827043e-08,0.0,6.7538586e-08,0.76374054,0.7469673,0.8140907,0.6708355,0.69057584,0.8710474,0.69626486,0.8053908,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.57151175,0.55840206,0.5526571,0.5806689,0.8125024,0.58477044,0.64977694,0.67104495,1.7196108e-08,2.9785832e-08,0.0,6.422434e-08,0.70277023,0.7004585,0.76756096,0.61815643,0.6292403,0.8350431,0.61966074,0.70089406,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.58855677,0.5749154,0.5697465,0.59853125,0.7982414,0.8033633,0.49845052,0.40562502,2.7886681e-08,3.8643034e-08,0.0,3.6312198e-08,0.67731285,0.67934227,0.76766205,0.59635544,0.4949273,0.71988046,0.545367,0.5731246,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5732336,0.5594568,0.55392647,0.58345366,0.47711322,0.7009995,0.30959642,0.55676067,0.0,3.962437e-08,0.0,1.34777745e-08,0.6619873,0.6708584,0.7678642,0.58545303,0.4649645,0.65984166,0.5237992,0.533613,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.59159565,0.5779247,0.5719776,0.602489,0.50259244,0.5225234,0.36388832,0.65190625,0.0,1.21908865e-08,0.0,7.453401e-08,0.639122,0.6518135,0.7586403,0.5702362,0.4357506,0.5984546,0.49870038,0.49094898,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.5459347,0.53260136,0.52583647,0.556499,0.35737124,0.46589506,0.17845541,0.46217433,0.0,2.6753922e-08,0.0,7.763613e-08,0.57052994,0.59046745,0.7059288,0.50870514,0.413139,0.59826434,0.49528694,0.4475537,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
